"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Beholder Zombie","MM","Large","undead","neutral evil","15 (natural armor)","93 (11d10 + 33)","0 ft., fly 20 ft. (hover)","10","8","16","3","8","5","Wis +2","","","","poison","poisoned, prone","darkvision 60 ft., passive Perception 9","understands Deep Speech and Undercommon but can't speak","5 (1,800 XP)"," Undead Fortitude. If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 14 (4d6) piercing damage. Eye Ray. The zombie uses a random magical eye ray, choosing a target that it can see within 60 feet of it.1. Paralyzing Ray. The targeted creature must succeed on a DC 14 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.2. Fear Ray. The targeted creature must succeed on a DC 14 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.3. Enervation Ray. The targeted creature must make a DC 14 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one.4. Disintegration Ray. If the target is a creature, it must succeed on a DC 14 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust.If the target is a Large or smaller nonmagical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger nonmagical object or creation of magical force, this ray disintegrates a 10-foot cube of it.","","","","","","","Underdark"
"Bel","BGDIA","Large","fiend (devil)","lawful evil","19 (natural armor)","364 (27d10 + 216)","30 ft., fly 60 ft.","28","14","26","25","19","26","Dex +10, Con +16, Wis +12","Arcana +15, Deception +16, Insight +12, Persuasion +16","","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","fire, poison","poisoned","truesight 120 ft., passive Perception 14","Common, Infernal, telepathy 120 ft.","25 (75,000 XP)"," Fear Aura. Any creature hostile to Bel that starts its turn within 20 feet of him must make a DC 23 Wisdom saving throw, unless Bel is incapacitated. Unless the save succeeds, the creature is frightened until the start of its next turn. If a creature's saving throw is successful, the creature is immune to Bel's Fear Aura for the next 24 hours. Innate Spellcasting. Bel's spellcasting ability is Charisma (spell save DC 23). Bel can innately cast the following spells, requiring no material components:At will: detect magic, fireball3/day each: dispel magic, hold monster, mirror image, mislead, raise dead, teleport, wall of fire1/day each: imprisonment, meteor swarm Legendary Resistance (3/Day). If Bel fails a saving throw, he can choose to succeed instead. Magic Resistance. Bel has advantage on saving throws against spells and other magical effects. Magic Weapons. Bel's weapon attacks are magical."," Multiattack. Bel makes three attacks: two with his greatsword and one with his tail. Greatsword. Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 23 (4d6 + 9) slashing damage plus 21 (6d6) fire damage. If the target is a flammable object that is not being held or worn, it catches fire. Tail. Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 25 (3d10 + 9) bludgeoning damage. If the target is a creature, it must succeed on a DC 23 Constitution saving throw or be stunned until the end of its next turn.","",""," Fireball. Bel casts fireball. Tactical Edge (Costs 2 Actions). Roll a d6 for Bel. The number rolled on the die is subtracted from the next attack roll made against Bel or an ally of his choice within the next minute. Summon Ice Devil (Costs 3 Actions). Bel magically summons an ice devil with an ice spear (as described in the ice devil's entry in the Monster Manual). The ice devil appears in an unoccupied space within 60 feet of Bel, acts as Bel's ally, and can summon other devils if it has such power. The ice devil remains until Bel dies or until he dismisses it as an action.","","","",""
"Belak the Outcast","TftYP","Medium","humanoid (human)","any alignment","11 (16 with barkskin)","27 (5d8 + 5)","30 ft.","10","12","13","12","15","11","","Medicine +4, Nature +3, Perception +4","","","","","passive Perception 14","Druidic plus any two languages","2 (450 XP)"," Spellcasting. The druid is a 4th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). It has the following druid spells prepared:Cantrips (at will): druidcraft, poison spray, shillelagh1st level (4 slots): cure wounds, entangle, faerie fire, thunderwave2nd level (3 slots): barkskin, flaming sphere"," Quarterstaff. Melee Weapon Attack: +2 to hit (+4 to hit with shillelagh), reach 5 ft., one target. Hit: 3 (1d6) bludgeoning damage, or 6 (1d8 + 2) bludgeoning damage with shillelagh or if wielded with two hands.","","","","","","",""
"Belashyrra","ERLW","Medium","aberration","chaotic evil","19 (natural armor)","304 (32d8 + 160)","40 ft., fly 40 ft. (hover)","24","21","20","25","22","23","Int +14, Wis +13, Cha +13","Arcana +14, Perception +13","","poison, psychic","","blinded, charmed, exhaustion, frightened, poisoned, prone","truesight 120 ft., passive Perception 23","Deep Speech, telepathy 120 ft.","22 (41,000 XP) or 23 (50,000 XP) when encountered in lair"," Alien Mind. If a creature tries to read Belashyrra's thoughts or deals psychic damage to it, that creature must succeed on a DC 22 Intelligence saving throw or be stunned for 1 minute. The stunned creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Eye Thief. Belashyrra can see through the eyes of all creatures within 120 feet of it. It can use its Eye Ray through any creature within 120 feet of it, as though it were in that creature's space. Legendary Resistance (3/Day). If Belashyrra fails a saving throw, it can choose to succeed instead. Magic Resistance. Belashyrra has advantage on saving throws against spells and other magical effects. Regeneration. Belashyrra regains 20 hit points at the start of its turn. If it takes radiant damage, this trait doesn't function at the start of its next turn. Belashyrra dies only if it starts its turn with 0 hit points and doesn't regenerate. Teleport. As a bonus action, Belashyrra can teleport up to 30 feet to an unoccupied space it can see."," Multiattack. Belashyrra makes two attacks with its claws and uses its Eye Ray once. Claw. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 17 (3d6 + 7) slashing damage. Eye Ray. Belashyrra shoots one of the following magical eye rays of its choice, targeting one creature it can see within 120 feet of it:1. Psyche-Reconstruction Ray. The target must make a DC 22 Wisdom saving throw, taking 49 (9d10) psychic damage on a failed save, or half as much damage on a successful one. If this damage reduces a creature to 0 hit points, it dies and transforms into a spectator under Belashyrra's control and acts immediately after Belashyrra in the initiative order. The target can't be returned to its original form by any means short of a wish spell.2. Domination Ray. The target must succeed on a DC 22 Wisdom saving throw or be charmed by Belashyrra for 1 minute or until the target takes damage. Belashyrra can issue telepathic commands to the charmed creature (no action required), which it does its best to obey.3. Mind-Weakening Ray. The target must succeed on a DC 22 Intelligence saving throw or take 36 (8d8) psychic damage and be unable to cast spells or activate magic items for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.4. Blinding Ray. The target and each creature within 10 feet of it must succeed on a DC 22 Constitution saving throw or take 19 (3d12) radiant damage and be blinded for 1 minute. Until this blindness ends, Belyshyrra can see through the blinded creature's eyes. The blinded creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","",""," Claw. Belashyrra makes one claw attack. Implant Fear (Costs 2 Actions). Belashyrra targets a creature it can see within 60 feet of it. The target must succeed on a DC 22 Wisdom saving throw or take 22 (4d10) psychic damage and immediately use its reaction, if available, to move as far as its speed allows away from Belashyrra. Rend Reality (Costs 3 Actions). Belashyrra rips at the bonds of reality in its immediate area. Each creature within 10 feet of Belashyrra must succeed on a DC 22 Constitution saving throw or take 19 (3d12) force damage and gain one level of exhaustion.","","While within the Citadel of Lidless Eyes, Belashyrra can invoke the ambient magic to take lair actions. On initiative count 20 (losing initiative ties), Belashyrra can take a lair action to cause one of the following effects; it can't use the same effect two rounds in a row:An eye opens on a solid surface within 60 feet of Belashyrra. One random eye ray of Belashyrra's shoots from that eye at a target of Belashyrra's choice that it can see. The eye then closes and disappears.Belashyrra creates a wave of madness. Each creature it can see within its lair must succeed on a DC 22 Wisdom saving throw or be charmed for 1 minute. While charmed in this way, a creature must use its action at the start of its turn before moving to make a melee attack against another creature of Belashyrra's choice within reach. If there are no creatures within reach, the charmed creature can act normally for that turn. A charmed creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.Belashyrra taps into the eyesight of creatures in its lair and alters their perception. Each creature of Belashyrra's choice in the lair must make a DC 22 Wisdom saving throw. On a failure, the affected creature perceives objects and creatures a short distance from their actual locations, imposing disadvantage on the creature's attack rolls against those targets. An affected creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to this lair action for the next 24 hours.","Belashyrra's lair is known to touch remote areas of the Shadow Marches and caverns below Xen'drik. A region containing a passage to Belashyrra's lair is warped by its magic, which creates one or more of the following effects:Creatures within 1 mile of the passage sometimes feel as if they're being watched.Beasts that live within 5 miles of the passage undergo magical transmutation, growing eyes or eyestalks that Belashyrra can see through.A humanoid who spends at least 1 hour within 1 mile of the passage must succeed on a DC 21 Wisdom saving throw or descend into a type of madness (see ""Madness of Belashyrra"" below). A creature that succeeds on this saving throw can't be affected by this regional effect again for 24 hours.If Belashyrra dies, these effects fade over the course of 1d10 days.",""
"Beldora","SKT","Medium","humanoid (Illuskan human)","chaotic good","12","18 (4d8)","30 ft.","10","14","10","16","12","16","","Deception +5, Insight +3, Investigation +5, Perception +5, Persuasion +5","","","","","passive Perception 13","Common, Draconic, Dwarvish, Halfling",""," Roleplaying Information. Beldora is a member of the harpers who survives using her wits and wiles. She looks like a homeless waif, but she's a survivor who shies away from material wealth.Ideal: ""We should all strive to help one another""Bond: ""I'll risk my life to protect the powerless.""Flaw: ""I like lying to people. Makes life more interesting, no?"""," Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage. Hand Crossbow. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Beldora carries ten crossbow bolts.",""," Duck and Cover. Beldora adds 2 to her AC against one ranged attack that would hit her. To do so, Beldora must see the attacker and can't be grappled or restrained.","","","","",""
"Bepis Honeymaker","WDH","Small","humanoid (Strongheart halfling)","lawful good","10","4 (1d8)","25 ft.","10","10","10","10","10","10","","","","","","","passive Perception 10","Common, Halfling","0 (0 or 10 XP)"," Brave. Bepis has advantage on saving throws against being frightened. Halfling Nimbleness. Bepis can move through a space occupied by a creature of a size larger than him","","","","","","","",""
"Berlain Shadowdusk","WDMM","Medium","aberration","chaotic evil","12 (15 with mage armor)","99 (18d8 + 18)","30 ft.","10","14","12","20","15","16","Int +9, Wis +6","Arcana +13, History +13","","damage from spells; nonmagical bludgeoning, piercing, and slashing (from stoneskin)","","","passive Perception 12","Common, Deep Speech, Grell, Undercommon","12 (8,400 XP)"," Extra Parts. As a bonus action, Berlain can use her extra mouth and arms to cast any cantrip she has prepared. Magic Resistance. Berlain has advantage on saving throws against spells and other magical effects. Spellcasting. Berlain is an 18th-level spellcaster. Her spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). Berlain can cast disguise self and invisibility at will and has the following wizard spells prepared:Cantrips (at will): fire bolt, light, mage hand, prestidigitation, shocking grasp1st level (4 slots): detect magic, identify, mage armor*, magic missile2nd level (3 slots): detect thoughts, mirror image, misty step3rd level (3 slots): counterspell, fly, lightning bolt4th level (3 slots): polymorph, fire shield, stoneskin*5th level (3 slots): cone of cold, scrying, wall of force6th level (1 slot): globe of invulnerability7th level (1 slot): teleport8th level (1 slot): mind blank*9th level (1 slot): time stop*Berlain casts these spells on herself before combat."," Dagger. Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","","","","","","",""
"Berserker","MM","Medium","humanoid (any race)","any chaotic alignment","13 (hide armor)","67 (9d8 + 27)","30 ft.","16","12","17","9","11","9","","","","","","","passive Perception 10","any one language (usually Common)","2 (450 XP)"," Reckless. At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn."," Greataxe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 9 (1d12 + 3) slashing damage.","","","","","","","Arctic, Coastal, Desert, Forest, Hill, Mountain"
"Bestial Spirit","TCE","Small","beast","unaligned","11 + the level of the spell (natural armor)","20 (Air only) or 30 (Land and Water only) + 5 for each spell level above 2nd","30 ft., climb 30 ft. (land only), fly 60 ft. (air only), swim 30 ft. (water only)","18","11","16","4","14","5","","","","","","","darkvision 60 ft., passive Perception 12","understands the languages you speak",""," Flyby (Air Only). The beast doesn't provoke opportunity attacks when it flies out of an enemy's reach. Pack Tactics (Land and Water Only). The beast has advantage on an attack roll against a creature if at least one of the beast's allies is within 5 feet of the creature and the ally isn't incapacitated. Water Breathing (Water Only). The beast can breathe only underwater."," Multiattack. The beast makes a number of attacks equal to half this spell's level (rounded down). Maul. Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one target. Hit: 1d8 + 4 + the spell's level piercing damage.","","","","","","",""
"Beucephalus","CoS","Large","fiend","neutral evil","13 (natural armor)","104 (8d10 + 24)","60 ft., fly 90 ft.","18","15","16","10","13","15","","","","","fire","","passive Perception 11","understands Abyssal, Common, and Infernal but can't speak ","3 (700 XP)"," Confer Fire Resistance. Beucephalus can grant resistance to fire damage to anyone riding it. Illumination. Beucephalus sheds bright light in a 10-foot radius and dim light for an additional 10 feet."," Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage plus 7 (2d6) fire damage. Ethereal Stride. Beucephalus and up to three willing creatures within 5 feet of it magically enter the Ethereal Plane from the Material Plane, or vice versa.","","","","","","",""
"Big Xorn","WDMM","Large","elemental","neutral","19 (natural armor)","103 (9d10 + 54)","20 ft., burrow 20 ft.","20","10","22","11","10","11","","Perception +6, Stealth +3","","piercing and slashing from nonmagical attacks that aren't adamantine","","","darkvision 60 ft., tremorsense 60 ft., passive Perception 16","Terran","8 (3,900 XP)"," Earth Glide. The xorn can burrow through nonmagical, unworked earth and stone. While doing so, the xorn doesn't disturb the material it moves through. Stone Camouflage. The xorn has advantage on Dexterity (Stealth) checks made to hide in rocky terrain. Treasure Sense. The xorn can pinpoint, by scent, the location of precious metals and stones, such as coins and gems, within 60 feet of it."," Multiattack. The xorn makes three claw attacks and one bite attack. Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 22 (5d6 + 5) piercing damage. Claw. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 9 (1d8 + 5) slashing damage.","","","","","","",""
"Billy Beaver","RMBRE","Large","construct","unaligned","13 (natural armor)","34 (7d10 + 21)","40 ft.","20","12","17","3","12","7","","Perception +3","","","poison, psychic","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned","darkvision 60 ft., passive Perception 13","Common","3 (700 XP)"," Keen Sight and Smell. Billy Beaver has advantage on Wisdom (Perception) checks that rely on sight or smell."," Beak. Melee Weapon Attack: +7 to hit, reach 5 ft., one creature. Hit: 10 (1d10 + 5) piercing damage.","","","","","","",""
"Biomancer","GGR","Medium","humanoid (any race)","neutral good","17 (splint armor)","110 (17d8 + 34)","30 ft.","10","15","14","20","14","15","Int +9, Wis +6","Arcana +9, Nature +9","","","","","passive Perception 12","Common plus any one language","10 (5,900 XP)"," Bolstering Presence. The biomancer magically emanates life-giving energy within 30 feet of itself. Any ally of the biomancer that starts its turn there regains 5 (1d10) hit points. Magic Resistance. The biomancer has advantage on saving throws against spells and other magical effects. Spellcasting. The biomancer is a 16th-level Simic spellcaster. Its spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). The biomancer has the following wizard spells prepared:Cantrips (at will): acid splash, light, mending, poison spray, shocking grasp1st level (4 slots): detect magic, grease, shield2nd level (3 slots): alter self, darkvision, enlarge/reduce, hold person3rd level (3 slots): counterspell, dispel magic, haste, protection from energy4th level (3 slots): confusion, conjure minor elementals, polymorph5th level (2 slots): cone of cold, creation, hold monster6th level (1 slot): move earth, wall of ice7th level (1 slot): prismatic spray8th level (1 slot): control weather"," Scimitar. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.","","","","","","",""
"Bitter Breath","BGDIA","Large","fiend (devil)","lawful evil","18 (natural armor)","178 (17d10 + 85)","20 ft.","22","17","21","12","16","17","Str +10, Dex +7, Wis +7, Cha +7","","","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","fire, poison","poisoned","darkvision 120 ft., passive Perception 13","Infernal, telepathy 120 ft.","11 (7,200 XP)"," Devil's Sight. Magical darkness doesn't impede Bitter Breath's darkvision. Magic Resistance. Bitter Breath has advantage on saving throws against spells and other magical effects."," Multiattack. Bitter Breath makes three melee attacks: two with its fork and one with its tail. It can use Hurl Flame in place of any melee attack. Fork. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 15 (2d8 + 6) piercing damage. Tail. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 10 (1d8 + 6) piercing damage. If the target is a creature other than an undead or a construct, it must succeed on a DC 17 Constitution saving throw or lose 10 (3d6) hit points at the start of each of its turns due to an infernal wound. Each time Bitter Breath hits the wounded target with this attack, the damage dealt by the wound increases by 10 (3d6). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical healing. Hurl Flame. Ranged Spell Attack: +7 to hit, range 150 ft., one target. Hit: 14 (4d6) fire damage. If the target is a flammable object that isn't being worn or carried, it also catches fire.","","","","","","",""
"Bjornhild Solvigsdottir","IDRotF","Medium","humanoid (human)","neutral evil","12 (hide armor)","102 (12d8 + 48)","30 ft.","18","11","18","14","11","14","","Athletics +7, Intimidation +5, Survival +3","","","","","passive Perception 10","Common, Yeti","5 (1,800 XP)"," Auril's Blessing (3/Day). When Bjornhild hits a creature with a weapon attack, the attack deals an extra 11 (2d10) cold damage."," Multiattack. Bjornhild makes two melee attacks. Greataxe. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 10 (1d12 + 4) slashing damage, plus 11 (2d10) cold damage if Bjornhild uses Auril's Blessing. Spear. Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 7 (1d6 + 4) piercing damage, or 8 (1d8 + 4) piercing damage if used with two hands to make a melee attack, plus 11 (2d10) cold damage if Bjornhild uses Auril's Blessing.","","","","","","",""
"Black Bear","MM","Medium","beast","unaligned","11 (natural armor)","19 (3d8 + 6)","40 ft., climb 30 ft.","15","10","14","2","12","7","","Perception +3","","","","","passive Perception 13","—","1/2 (100 XP)"," Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack. The bear makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage.","","","","","","","Forest"
"Black Dragon Wyrmling","MM","Medium","dragon","chaotic evil","17 (natural armor)","33 (6d8 + 6)","30 ft., fly 60 ft., swim 30 ft.","15","14","13","10","11","13","Dex +4, Con +3, Wis +2, Cha +3","Perception +4, Stealth +4","","","acid","","blindsight 10 ft., darkvision 60 ft., passive Perception 14","Draconic","2 (450 XP)"," Amphibious. The dragon can breathe air and water."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 2 (1d4) acid damage. Acid Breath (Recharge 5–6). The dragon exhales acid in a 15-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 22 (5d8) acid damage on a failed save, or half as much damage on a successful one.","","","","","","",""
"Black Earth Guard","PotA","Medium","humanoid (human)","neutral evil","18 (plate armor)","39 (6d8 + 12)","30 ft.","17","11","14","10","10","9","","Intimidation +1, Perception +2","","","","","passive Perception 12","Common","2 (450 XP)",""," Multiattack. The guard makes two melee attacks. Morningstar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage.",""," Unyielding. When the guard is subjected to an effect that would move it, knock it prone, or both, it can use its reaction to be neither moved nor knocked prone.","","","","",""
"Black Earth Priest","PotA","Medium","humanoid (human)","neutral evil","17 (splint armor)","45 (7d8 + 14)","30 ft.","15","11","14","12","10","16","","Intimidation +5, Persuasion +5, Religion +3","","","","","passive Perception 10","Common, Terran","3 (700 XP)"," Spellcasting. The priest is a 5th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). It knows the following sorcerer spells:Cantrips (at will): acid splash, blade ward, light, mending, mold earth1st level (4 slots): earth tremor, expeditious retreat, shield2nd level (3 slots): shatter, spider climb3rd level (2 slots): slow"," Multiattack. The priest makes two melee attacks. Glaive. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 7 (1d10 + 2) slashing damage.",""," Unyielding. When the priest is subjected to an effect that would move it, knock it prone, or both, it can use its reaction to be neither moved nor knocked prone.","","","","",""
"Black Gauntlet of Bane","BGDIA","Medium","humanoid (human)","lawful evil","16 (chain mail)","51 (6d8 + 24)","30 ft.","18","11","18","12","15","18","Wis +5","Intimidation +7, Perception +5","","","","frightened","passive Perception 15","Common","6 (2,300 XP)"," Aura of Terror. When a hostile creature within 5 feet of the black gauntlet makes an attack roll or a saving throw, it has disadvantage on the roll. Creatures that are immune to the frightened condition are immune to this trait. Spellcasting. The black gauntlet is a 5th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 15, +7 to hit with spell attacks). It has the following cleric spells prepared:Cantrips (at will): guidance, sacred flame, thaumaturgy1st level (4 slots): bane, bless, cure wounds, guiding bolt (see ""Actions"" below)2nd level (3 slots): blindness/deafness, hold person, silence3rd level (2 slots): sending, spirit guardians Tactical Discipline. The black gauntlet has advantage on all ability checks and saving throws made during combat."," Multiattack. The black gauntlet makes two attacks with its mace. Mace. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage plus 13 (3d8) necrotic damage. Guiding Bolt (1st-Level Spell; Requires a Spell Slot). Ranged Spell Attack: +7 to hit, range 120 ft., one creature. Hit: 14 (4d6) radiant damage, and the next attack roll made against the target before the end of the black gauntlet's next turn has advantage. If the black gauntlet casts this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.","","","","","","",""
"Black Greatwyrm","FTD","Gargantuan","dragon (chromatic)","chaotic evil","22 (natural armor)","533 (26d20 + 260)","60 ft., burrow 60 ft., fly 120 ft., swim 60 ft.","30","14","30","21","20","26","Dex +10, Con +18, Wis +13, Cha +16","Intimidation +16, Perception +21, Stealth +10","","","acid","charmed, frightened, poisoned","truesight 120 ft., passive Perception 31","Common, Draconic","27 (105,000 XP, or 210,000 XP as a mythic encounter)"," Chromatic Awakening (Recharges after a Short or Long Rest). If the greatwyrm would be reduced to 0 hit points, its current hit point total instead resets to 425 hit points, it recharges its Breath Weapon, and it regains any expended uses of Legendary Resistance. Additionally, the greatwyrm can now use the options in the ""Mythic Actions"" section for 1 hour. Award a party an additional 105,000 XP (210,000 XP total) for defeating the greatwyrm after its Chromatic Awakening activates. Legendary Resistance (4/Day). If the greatwyrm fails a saving throw, it can choose to succeed instead. Unusual Nature. The greatwyrm doesn't require food or drink."," Multiattack. The greatwyrm makes one Bite attack and two Claw attacks. Bite. Melee Weapon Attack: +18 to hit, reach 15 ft., one target. Hit: 21 (2d10 + 10) piercing damage plus 13 (2d12) force damage. Claw. Melee Weapon Attack: +18 to hit, reach 10 ft., one target. Hit: 19 (2d8 + 10) slashing damage. If the target is a Huge or smaller creature, it is grappled (escape DC 20) and is restrained until this grapple ends. The greatwyrm can have only one creature grappled this way at a time. Tail. Melee Weapon Attack: +18 to hit, reach 20 ft., one target. Hit: 19 (2d8 + 10) bludgeoning damage. If the target is a creature, it must succeed on a DC 26 Strength saving throw or be knocked prone. Breath Weapon (Recharge 5–6). The greatwyrm exhales a blast of energy in a 300-foot cone. Each creature in that area must make a DC 26 Dexterity saving throw. On a failed save, the creature takes 78 (12d12) acid damage. On a successful save, the creature takes half as much damage.","",""," Attack. The greatwyrm makes one Claw or Tail attack. Wing Attack (Costs 2 Actions). The greatwyrm beats its wings. Each creature within 30 feet of it must succeed on a DC 26 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The greatwyrm can then fly up to half its flying speed. Arcane Spear (Costs 3 Actions). The greatwyrm creates four spears of magical force. Each spear hits a creature of the greatwyrm's choice it can see within 120 feet of it, dealing 12 (1d8 + 8) force damage to its target, then disappears."," Bite. The greatwyrm makes one Bite attack. Chromatic Flare (Costs 2 Actions). The greatwyrm flares with elemental energy. Each creature in a 60-foot-radius sphere centered on the greatwyrm must succeed on a DC 26 Dexterity saving throw or take 22 (5d8) acid damage.","","",""
"Black Pudding","MM","Large","ooze","unaligned","7","85 (10d10 + 30)","20 ft., climb 20 ft.","16","5","16","1","6","1","","","","","acid, cold, lightning, slashing","blinded, charmed, deafened, exhaustion, frightened, prone","blindsight 60 ft. (blind beyond this radius), passive Perception 8","—","4 (1,100 XP)"," Amorphous. The pudding can move through a space as narrow as 1 inch wide without squeezing. Corrosive Form. A creature that touches the pudding or hits it with a melee attack while within 5 feet of it takes 4 (1d8) acid damage. Any nonmagical weapon made of metal or wood that hits the pudding corrodes. After dealing damage, the weapon takes a permanent and cumulative −1 penalty to damage rolls. If its penalty drops to −5, the weapon is destroyed. Nonmagical ammunition made of metal or wood that hits the pudding is destroyed after dealing damage. The pudding can eat through 2-inch-thick, nonmagical wood or metal in 1 round. Spider Climb. The pudding can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Pseudopod. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage plus 18 (4d8) acid damage. In addition, nonmagical armor worn by the target is partly dissolved and takes a permanent and cumulative −1 penalty to the AC it offers. The armor is destroyed if the penalty reduces its AC to 10.",""," Split. When a pudding that is Medium or larger is subjected to lightning or slashing damage, it splits into two new puddings if it has at least 10 hit points. Each new pudding has hit points equal to half the original pudding's, rounded down. New puddings are one size smaller than the original pudding.","","","","","Underdark"
"Black Viper","WDH","Medium","humanoid (human)","chaotic neutral","16 (studded leather armor)","84 (13d8 + 26)","30 ft.","11","18","14","11","11","12","Dex +7, Int +3","Acrobatics +7, Athletics +3, Perception +3, Sleight of Hand +7, Stealth +7","","","","","passive Perception 13","Common, Thieves' cant","5 (1,800 XP)"," Cunning Action. On each of her turns, the Black Viper can use a bonus action to take the Dash, Disengage, or Hide action. Evasion. If the Black Viper is subjected to an effect that allows her to make a Dexterity saving throw to take only half damage, she instead takes no damage if she succeeds on the saving throw, and only half damage if she fails. She can't use this trait if she's incapacitated. Sneak Attack (1/Turn). The Black Viper deals an extra 14 (4d6) damage when she hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of the Black Viper that isn't incapacitated and the Black Viper doesn't have disadvantage on the attack roll."," Multiattack. The Black Viper makes three attacks with her rapier. Rapier. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 4) piercing damage. Hand Crossbow. Ranged Weapon Attack: +7 to hit, range 30/120 ft., one target. Hit: 7 (1d6 + 4) piercing damage.",""," Uncanny Dodge. The Black Viper halves the damage that she takes from an attack that hits her. She must be able to see the attacker.","","","","",""
